MAZ,TAZ,COUNTY,county_name
10001,56,1,San Francisco
10002,56,1,San Francisco
10003,10,1,San Francisco
10004,53,1,San Francisco
10005,48,1,San Francisco
10006,48,1,San Francisco
10007,65,1,San Francisco
10009,65,1,San Francisco
10012,40,1,San Francisco
10017,583,1,San Francisco
10018,574,1,San Francisco
10021,618,1,San Francisco
10022,116,1,San Francisco
10023,125,1,San Francisco
10024,622,1,San Francisco
10025,623,1,San Francisco
10030,250,1,San Francisco
10038,363,1,San Francisco
10039,330,1,San Francisco
10044,635,1,San Francisco
10045,635,1,San Francisco
10047,199,1,San Francisco
10048,636,1,San Francisco
10049,100,1,San Francisco
10052,453,1,San Francisco
10053,553,1,San Francisco
10054,553,1,San Francisco
10055,39,1,San Francisco
10056,288,1,San Francisco
10060,84,1,San Francisco
10062,117,1,San Francisco
10063,188,1,San Francisco
10064,294,1,San Francisco
10065,294,1,San Francisco
10071,438,1,San Francisco
10072,438,1,San Francisco
10073,461,1,San Francisco
10074,471,1,San Francisco
10075,471,1,San Francisco
10076,471,1,San Francisco
10077,434,1,San Francisco
10078,478,1,San Francisco
10079,398,1,San Francisco
10084,366,1,San Francisco
10086,404,1,San Francisco
10087,401,1,San Francisco
10094,420,1,San Francisco
10098,490,1,San Francisco
10099,489,1,San Francisco
10101,281,1,San Francisco
10102,491,1,San Francisco
10104,6,1,San Francisco
10107,563,1,San Francisco
10109,570,1,San Francisco
10110,20,1,San Francisco
10111,21,1,San Francisco
10112,18,1,San Francisco
10114,52,1,San Francisco
10116,52,1,San Francisco
10117,535,1,San Francisco
10119,454,1,San Francisco
10122,42,1,San Francisco
10123,619,1,San Francisco
10124,98,1,San Francisco
10125,98,1,San Francisco
10127,38,1,San Francisco
10128,419,1,San Francisco
10130,188,1,San Francisco
10133,143,1,San Francisco
10137,361,1,San Francisco
10138,564,1,San Francisco
10140,1,1,San Francisco
10141,522,1,San Francisco
10142,522,1,San Francisco
10143,379,1,San Francisco
10144,568,1,San Francisco
10147,584,1,San Francisco
10150,430,1,San Francisco
10151,365,1,San Francisco
10153,371,1,San Francisco
10157,388,1,San Francisco
10159,581,1,San Francisco
10160,426,1,San Francisco
10161,426,1,San Francisco
10162,427,1,San Francisco
10163,431,1,San Francisco
10164,364,1,San Francisco
10165,366,1,San Francisco
10167,430,1,San Francisco
10168,6,1,San Francisco
10169,11,1,San Francisco
10170,6,1,San Francisco
10172,1,1,San Francisco
10173,3,1,San Francisco
10179,420,1,San Francisco
10180,420,1,San Francisco
10181,446,1,San Francisco
10184,52,1,San Francisco
10185,592,1,San Francisco
10186,592,1,San Francisco
10187,454,1,San Francisco
10190,197,1,San Francisco
10192,314,1,San Francisco
10193,152,1,San Francisco
10194,186,1,San Francisco
10195,156,1,San Francisco
10197,315,1,San Francisco
10198,317,1,San Francisco
10200,476,1,San Francisco
10201,302,1,San Francisco
10202,646,1,San Francisco
10203,128,1,San Francisco
10204,128,1,San Francisco
10206,208,1,San Francisco
10207,210,1,San Francisco
10208,209,1,San Francisco
10209,209,1,San Francisco
10210,545,1,San Francisco
10211,544,1,San Francisco
10212,543,1,San Francisco
10213,333,1,San Francisco
10214,333,1,San Francisco
10215,264,1,San Francisco
10218,351,1,San Francisco
10219,4,1,San Francisco
10222,597,1,San Francisco
10223,504,1,San Francisco
10224,162,1,San Francisco
10225,166,1,San Francisco
10226,494,1,San Francisco
10227,499,1,San Francisco
10228,498,1,San Francisco
10229,495,1,San Francisco
10230,495,1,San Francisco
10231,495,1,San Francisco
10232,281,1,San Francisco
10233,282,1,San Francisco
10234,495,1,San Francisco
10235,281,1,San Francisco
10236,296,1,San Francisco
10241,192,1,San Francisco
10242,626,1,San Francisco
10247,267,1,San Francisco
10248,269,1,San Francisco
10249,268,1,San Francisco
10250,76,1,San Francisco
10251,261,1,San Francisco
10252,265,1,San Francisco
10253,546,1,San Francisco
10254,172,1,San Francisco
10255,173,1,San Francisco
10256,172,1,San Francisco
10257,172,1,San Francisco
