a,mgra,dest
1,1,56
2,2,56
3,3,10
4,4,53
5,5,48
6,6,48
7,7,65
8,8,65
9,9,40
10,10,570
11,11,563
12,12,601
13,13,114
14,14,123
15,15,605
16,16,606
17,17,248
18,18,356
19,19,324
20,20,618
21,21,618
22,22,197
23,23,619
24,24,99
25,25,443
26,26,542
27,27,542
28,28,39
29,29,286
30,30,83
31,31,115
32,32,186
33,33,292
34,34,292
35,35,429
36,36,429
37,37,451
38,38,461
39,39,461
40,40,461
41,41,425
42,42,468
43,43,391
44,44,359
45,45,397
46,46,394
47,47,412
48,48,480
49,49,479
50,50,279
51,51,481
52,52,6
53,53,552
54,54,559
55,55,20
56,56,21
57,57,18
58,58,52
59,59,52
60,60,525
61,61,444
62,62,42
63,63,602
64,64,97
65,65,97
66,66,38
67,67,411
68,68,186
69,69,141
70,70,354
71,71,553
72,72,1
73,73,512
74,74,512
75,75,372
76,76,557
77,77,571
78,78,422
79,79,358
80,80,364
81,81,381
82,82,568
83,83,418
84,84,418
85,85,419
86,86,423
87,87,357
88,88,359
89,89,422
90,90,6
91,91,11
92,92,6
93,93,1
94,94,3
95,95,412
96,96,412
97,97,436
98,98,52
99,99,576
100,100,444
101,101,195
102,102,310
103,103,150
104,104,184
105,105,154
106,106,311
107,107,313
108,108,466
109,109,298
110,110,629
111,111,126
112,112,126
113,113,206
114,114,208
115,115,207
116,116,207
117,117,535
118,118,534
119,119,533
120,120,327
121,121,327
122,122,262
123,123,344
124,124,4
125,125,580
126,126,494
127,127,160
128,128,164
129,129,484
130,130,489
131,131,488
132,132,485
133,133,485
134,134,485
135,135,279
136,136,280
137,137,485
138,138,279
139,139,294
140,140,293
141,141,190
142,142,609
143,143,265
144,144,267
145,145,266
146,146,76
147,147,259
148,148,263
149,149,536
150,150,170
151,151,171
152,152,170
153,153,170
154,154,174
155,155,574
156,156,568
157,157,568
158,158,568
159,159,575
160,160,27
161,161,220
162,162,37
163,163,37
164,164,555
165,165,409
166,166,582
167,167,582
168,168,581
169,169,581
170,170,581
171,171,581
172,172,21
173,173,18
174,174,88
175,175,88
176,176,85
177,177,561
178,178,144
179,179,116
180,180,309
181,181,309
182,182,439
183,183,112
184,184,123
185,185,123
186,186,342
187,187,321
188,188,345
189,189,81
190,190,1
191,191,60
192,192,148
193,193,146
194,194,148
195,195,201
196,196,211
197,197,211
198,198,202
199,199,212
200,200,177
201,201,178
202,202,178
203,203,205
204,204,205
205,205,527
206,206,204
207,207,214
208,208,250
209,209,491
210,210,492
211,211,206
212,212,494
213,213,209
214,214,280
215,215,295
216,216,100
217,217,625
218,218,625
219,219,624
220,220,67
221,221,65
222,222,69
223,223,432
224,224,339
225,225,321
226,226,321
227,227,336
228,228,380
229,229,379
230,230,341
231,231,321
232,232,343
233,233,284
234,234,479
235,235,275
236,236,325
237,237,269
238,238,436
239,239,544
240,240,7
241,241,587
242,242,559
243,243,1
244,244,479
245,245,236
246,246,163
247,247,296
248,248,524
249,249,72
250,250,219
251,251,221
252,252,60
253,253,60
254,254,61
255,255,82
256,256,82
257,257,148
258,258,150
259,259,151
260,260,104
261,261,104
262,262,449
263,263,104
264,264,104
265,265,237
266,266,235
267,267,441
268,268,187
269,269,195
270,270,193
271,271,154
272,272,184
273,273,310
274,274,311
275,275,313
276,276,319
277,277,319
278,278,353
279,279,298
280,280,314
281,281,334
282,282,551
283,283,31
284,284,582
285,285,410
286,286,579
287,287,24
288,288,97
289,289,606
290,290,258
291,291,530
292,292,254
293,293,255
294,294,255
295,295,256
296,296,256
297,297,257
298,298,565
299,299,483
300,300,43
301,301,567
302,302,364
303,303,364
304,304,362
305,305,427
306,306,339
307,307,336
308,308,455
309,309,368
310,310,455
311,311,367
312,312,460
313,313,365
314,314,383
315,315,49
316,316,49
317,317,58
318,318,57
319,319,554
320,320,582
321,321,561
322,322,27
323,323,146
324,324,152
325,325,97
326,326,254
327,327,258
328,328,256
329,329,257
330,330,220
331,331,252
332,332,251
333,333,481
334,334,469
335,335,361
336,336,362
337,337,426
338,338,54
339,339,11
340,340,49
341,341,65
342,342,68
343,343,65
344,344,628
345,345,40
346,346,127
347,347,50
348,348,83
349,349,83
350,350,83
351,351,83
352,352,7
353,353,550
354,354,16
355,355,551
356,356,5
357,357,562
358,358,592
359,359,570
360,360,596
361,361,267
362,362,259
363,363,537
364,364,44
365,365,166
366,366,463
367,367,430
368,368,424
369,369,461
370,370,458
371,371,337
372,372,363
373,373,363
374,374,66
375,375,54
376,376,54
377,377,55
378,378,55
379,379,59
380,380,65
381,381,59
382,382,66
383,383,629
384,384,40
385,385,482
386,386,280
387,387,12
388,388,12
389,389,16
390,390,97
391,391,39
392,392,288
393,393,288
394,394,610
395,395,186
396,396,186
397,397,609
398,398,612
399,399,166
400,400,421
401,401,429
402,402,137
403,403,140
404,404,140
405,405,138
406,406,553
407,407,575
408,408,39
409,409,507
410,410,107
411,411,322
412,412,270
413,413,289
414,414,451
415,415,451
416,416,453
417,417,461
418,418,461
419,419,451
420,420,430
421,421,430
422,422,80
423,423,38
424,424,80
425,425,252
426,426,221
427,427,312
428,428,312
429,429,191
430,430,192
431,431,233
432,432,191
433,433,194
434,434,311
435,435,311
436,436,231
437,437,232
438,438,380
439,439,445
440,440,152
441,441,189
442,442,189
443,443,631
444,444,562
445,445,588
446,446,165
447,447,155
448,448,156
449,449,127
450,450,108
451,451,449
452,452,104
453,453,449
454,454,228
455,455,71
456,456,252
457,457,215
458,458,214
459,459,247
460,460,471
461,461,246
462,462,248
463,463,248
464,464,632
465,465,275
466,466,275
467,467,325
468,468,325
469,469,275
470,470,241
471,471,106
472,472,101
473,473,101
474,474,101
475,475,299
476,476,586
477,477,434
478,478,433
479,479,509
480,480,182
481,481,148
482,482,153
483,483,152
484,484,108
485,485,108
486,486,237
487,487,235
488,488,315
489,489,315
490,490,71
491,491,42
492,492,71
493,493,441
494,494,42
495,495,593
496,496,87
497,497,498
498,498,472
499,499,250
500,500,250
501,501,370
502,502,469
503,503,547
504,504,547
505,505,546
506,506,7
507,507,8
508,508,14
509,509,14
510,510,502
511,511,505
512,512,374
513,513,374
514,514,144
515,515,144
516,516,187
517,517,190
518,518,608
519,519,608
520,520,118
521,521,119
522,522,119
523,523,119
524,524,100
525,525,282
526,526,326
527,527,468
528,528,3
529,529,126
530,530,105
531,531,208
532,532,205
533,533,208
534,534,75
535,535,242
536,536,533
537,537,242
538,538,138
539,539,141
540,540,142
541,541,236
542,542,273
543,543,271
544,544,236
545,545,271
546,546,496
547,547,495
548,548,474
549,549,513
550,550,513
551,551,500
552,552,268
553,553,519
554,554,406
555,555,404
556,556,403
557,557,519
558,558,518
559,559,402
560,560,405
561,561,404
562,562,405
563,563,289
564,564,289
565,565,554
566,566,553
567,567,46
568,568,24
569,569,22
570,570,61
571,571,64
572,572,185
573,573,440
574,574,567
575,575,567
576,576,71
577,577,442
578,578,187
579,579,238
580,580,121
581,581,605
582,582,606
583,583,386
584,584,456
585,585,143
586,586,143
587,587,474
588,588,513
589,589,633
590,590,499
591,591,515
592,592,520
593,593,519
594,594,630
595,595,404
596,596,289
597,597,570
598,598,542
599,599,542
600,600,43
601,601,124
602,602,421
603,603,429
604,604,429
605,605,426
606,606,339
607,607,336
608,608,336
609,609,431
610,610,454
611,611,454
612,612,459
613,613,459
614,614,367
615,615,63
616,616,58
617,617,47
618,618,535
619,619,537
620,620,254
621,621,260
622,622,249
623,623,370
624,624,466
625,625,500
626,626,462
627,627,71
628,628,300
629,629,269
630,630,12
631,631,84
632,632,84
633,633,570
634,634,604
635,635,542
636,636,43
637,637,43
638,638,43
639,639,150
640,640,124
641,641,93
642,642,304
643,643,84
644,644,267
645,645,254
646,646,249
647,647,472
648,648,247
649,649,370
650,650,470
651,651,35
652,652,324
653,653,589
654,654,590
655,655,451
656,656,464
657,657,463
658,658,452
659,659,562
660,660,424
661,661,469
662,662,455
663,663,469
664,664,361
665,665,363
666,666,425
667,667,426
668,668,56
669,669,53
670,670,11
671,671,54
672,672,49
673,673,48
674,674,56
675,675,55
676,676,55
677,677,68
678,678,628
679,679,65
680,680,65
681,681,359
682,682,420
683,683,351
684,684,378
685,685,383
686,686,342
687,687,580
688,688,580
689,689,346
690,690,322
691,691,322
692,692,67
693,693,629
694,694,67
695,695,39
696,696,589
697,697,588
698,698,93
699,699,438
700,700,438
701,701,287
702,702,438
703,703,431
704,704,431
705,705,453
706,706,453
707,707,455
708,708,455
709,709,458
710,710,426
711,711,360
712,712,53
713,713,53
714,714,48
715,715,48
716,716,54
717,717,56
718,718,54
719,719,58
720,720,68
721,721,29
722,722,31
723,723,173
724,724,174
725,725,201
726,726,211
727,727,212
728,728,211
729,729,177
730,730,176
731,731,204
732,732,204
733,733,205
734,734,527
735,735,253
736,736,247
737,737,214
738,738,275
739,739,272
740,740,142
741,741,483
742,742,528
743,743,496
744,744,492
745,745,491
746,746,493
747,747,143
748,748,482
749,749,493
750,750,206
751,751,207
752,752,629
753,753,428
754,754,441
755,755,187
756,756,307
757,757,307
758,758,307
759,759,307
760,760,119
761,761,169
762,762,169
763,763,108
764,764,107
765,765,624
766,766,627
767,767,240
768,768,240
769,769,193
770,770,310
771,771,310
772,772,154
773,773,310
774,774,182
775,775,85
776,776,591
777,777,562
778,778,410
779,779,375
780,780,376
781,781,7
782,782,113
783,783,149
784,784,98
785,785,186
786,786,186
787,787,118
788,788,218
