route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10867,1,6681228,Downtown,1,113,133142
10867,1,6681348,Downtown,1,106,133142
10867,1,6681070,the Richmond District,0,117,133139
10867,1,6681038,the Richmond District,0,107,133139
1031,1,6682885,Downtown,1,5106,133152
1031,1,6682964,Downtown,1,5117,133152
1110,1,6750403,City College,0,822,133186
1110,1,6750363,City College,0,803,133186
1110,1,6750633,Fisherman's Wharf,1,820,133190
1110,1,6750512,Fisherman's Wharf,1,810,133190
1109,1,6750546,Fisherman's Wharf,1,801,133193
1109,1,6750542,Fisherman's Wharf,1,813,133193
10882,1,6697413,Stonestown,0,1803,133235
10882,1,6697395,Stonestown,0,1802,133235
10882,1,6697454,the Richmond District,1,1804,133236
10882,1,6697451,the Richmond District,1,1803,133236
10883,1,6697866,Fisherman's Wharf,1,1902,133238
10883,1,6697854,Fisherman's Wharf,1,1909,133238
10883,1,6697786,Hunter's Point,0,1905,133237
10883,1,6697783,Hunter's Point,0,1903,133237
10885,1,6791146,Potrero Hill,0,2216,133247
10885,1,6791088,Potrero Hill,0,2216,133247
10885,1,6807612,the Marina District,1,2212,133251
10885,1,6791286,the Marina District,1,2202,133251
10886,1,6700945,San Francisco Zoo,0,2301,133254
10886,1,6700931,San Francisco Zoo,0,2302,133254
10886,1,6700975,the Bayview District,1,2304,133256
10887,1,6781967,Pacific Heights,1,2406,133267
10887,1,6781927,Pacific Heights,1,2403,133267
10887,1,6781748,the Bayview District,0,2407,133260
10887,1,6781830,the Bayview District,0,2402,133260
10888,1,6702699,Transbay Terminal,1,2502,133272
10888,1,6702697,Transbay Terminal,1,2503,133272
10889,1,6703466,the Mission District,0,2703,133274
10889,1,6703443,the Mission District,0,2706,133274
10889,1,6703539,Jackson & Van Ness,1,2705,133276
10889,1,6703514,Jackson & Van Ness,1,2707,133276
1028,1,6704443,Daly City Station,0,2801,133277
1028,1,6704417,Daly City Station,0,2806,133277
1028,1,6704559,Fort Mason,1,2807,133281
1028,1,6704528,Fort Mason,1,2801,133281
10986,1,6771815,Daly City Station,0,2869,134212
10986,1,6771732,Daly City Station,0,2823,134212
10986,1,6771828,Fillmore,1,2865,134215
10986,1,6771745,Fillmore,1,2820,134215
10891,1,6705657,the Bayview District,0,2902,133284
10891,1,6705642,the Bayview District,0,2902,133284
10891,1,6705784,Baker Beach,1,2909,133289
10891,1,6705783,Baker Beach,1,2902,133289
1030,1,6707276,Caltrain,1,3011,133309
1030,1,6707454,Caltrain,1,3008,133309
1045,1,6707041,the Presidio,0,4509,133305
1045,1,6706965,the Presidio,0,4503,133305
1030,1,6706925,Van Ness & North Point,0,3023,133300
1030,1,6707189,the Marina District,0,3013,133299
10895,1,6709610,General Hospital,0,3302,133324
10895,1,6709598,General Hospital,0,3304,133324
10895,1,6709688,the Richmond District,1,3304,133328
10895,1,6709676,the Richmond District,1,3302,133328
10896,1,6710466,Diamond Heights,0,3501,133331
10896,1,6710501,Castro Station,1,3501,133332
10896,1,6710490,Castro Station,1,3501,133332
10896,1,6710454,Diamond Heights,0,3501,133331
10897,1,6710656,The Mission District,0,3603,133333
10897,1,6710644,The Mission District,0,3603,133333
10897,1,6710692,Forest Hill/Midtown Terrace,1,3601,133335
10897,1,6710680,Forest Hill/Midtown Terrace,1,3601,133335
10898,1,6710882,Twin Peaks,0,3902,133338
10898,1,6710869,Twin Peaks,0,3704,133338
10898,1,6710932,the Haight-Ashbury District,1,3704,133341
10898,1,6710923,the Haight-Ashbury District,1,3701,133341
10901,1,6715271,Coit Tower,0,3901,133354
10901,1,6715312,Fisherman's  Wharf,1,3901,133355
10903,1,6770250,the Crocker-Amazon District,0,4306,133364
10903,1,6770232,the Crocker-Amazon District,0,4322,133364
10903,1,6770322,the Marina District,1,4302,133366
10903,1,6770357,the Marina District,1,4317,133366
10904,1,6755629,Hunter's Point,0,4404,133368
10904,1,6755625,Hunter's Point,0,4401,133368
10904,1,6755749,the Richmond District,1,4411,133373
10904,1,6755734,the Richmond District,1,4409,133373
10906,1,6717535,Fisherman's Wharf,1,4703,133380
10906,1,6717599,Fisherman's Wharf,1,4701,133380
10906,1,6717439,Caltrain,0,4705,133379
10906,1,6717502,Caltrain,0,4701,133379
10907,1,6718267,West Portal Station,0,4808,133381
10907,1,6718281,the Sunset District,0,4804,133382
10907,1,6718364,Potrero Hill,1,4812,133384
10907,1,6718362,Potrero Hill,1,4805,133384
10908,1,6719006,City College,0,4912,133390
10908,1,6718917,City College,0,4901,133390
10908,1,6719144,Fort Mason,1,4917,133394
10908,1,6719138,Fort Mason,1,4907,133394
10909,1,6720435,Forest Hill Station,1,5203,133396
10909,1,6720420,Forest Hill Station,1,5203,133396
10909,1,6720392,Lagrande & Persia,0,5202,133395
10909,1,6720391,Lagrande & Persia,0,5203,133395
10910,1,6720615,Daly City BART,0,5404,133397
10910,1,6720606,Daly City BART,0,5406,133397
10910,1,6720649,Bayview District,1,5402,133398
10910,1,6720668,Bayview District,1,5403,133398
10911,1,6720922,Mission Bay,0,5503,133401
10911,1,6720898,Mission Bay,0,5503,133401
10911,1,6720992,16th & Mission Bart Station,1,5501,133402
10911,1,6720968,16th & Mission Bart Station,1,5501,133402
10912,1,6721414,Excelsior Park,0,5601,133403
10912,1,6721403,Excelsior Park,0,5601,133403
10912,1,6721445,Visitacion Valley School,1,5601,133405
10912,1,6721433,Visitacion Valley School,1,5601,133405
10913,1,6794573,Parkmerced,0,5703,133407
10913,1,6794555,Parkmerced,0,5702,133407
10913,1,6794610,West Portal Station,1,5704,133408
10913,1,6794606,West Portal Station,1,5701,133408
1060,1,6721893,Hyde & Beach,0,6008,133412
1060,1,6721891,Hyde & Beach,0,6003,133412
1059,1,6721832,Taylor & Bay,0,5906,133410
1059,1,6721886,Taylor & Bay,0,5904,133410
1060,1,6722181,Powell & Market,1,6007,134627
1060,1,6722133,Powell & Market,1,6002,134627
10916,1,6723537,Van Ness Av.,0,6101,133419
10916,1,6723509,Van Ness Av.,0,6104,133419
10916,1,6723689,Market St.,1,6105,133421
10916,1,6723670,Market St.,1,6106,133421
10917,1,6724147,Vicente & 30th Av.,0,6602,133422
10917,1,6724127,Vicente & 30th Av.,0,6602,133422
10917,1,6724182,Judah & 9th Av.,1,6601,133423
10917,1,6724173,Judah & 9th Av.,1,6602,133423
10918,1,6724397,24th Street & Mission,1,6701,133426
10918,1,6724355,Alemany Boulevard,0,6703,133425
10918,1,6724418,24th Street & Mission,1,6703,133426
10918,1,6724337,Alemany Boulevard,0,6701,133425
10921,1,6724739,9th & Market,1,8301,133433
10921,1,6724735,Caltrain Station,0,8301,133432
10921,1,6724734,Caltrain Station,0,8302,133432
10921,1,6724751,9th & Market,1,8302,133433
10922,1,6724804,Balboa Park Station,1,8801,133435
1093,1,6725273,Caltrain via Downtown,1,9711,133459
1093,1,6725259,Caltrain via Downtown,1,9711,133459
1196,1,6764415,Balboa Park Station via Downtown,0,9419,133484
1196,1,6732046,Balboa Park Station via Downtown,0,9418,133484
1196,1,6764413,Visitacion Valley via Downtown,1,9416,133501
1196,1,6732482,Visitacion Valley via Downtown,1,9424,133501
10938,1,6743840,Downtown,1,9751,133586
10938,1,6743856,Downtown,1,9758,133586
1002,1,7085680,Downtown,1,202,138910
1002,1,7085673,Downtown,1,204,138910
1002,1,7085601,the Richmond District,0,209,138908
1002,1,7085582,the Richmond District,0,209,138908
11438,1,7086381,Ocean Beach,0,506,138919
11438,1,7086371,Ocean Beach,0,521,138919
11438,1,7086512,Downtown,1,515,138924
11438,1,7086622,Downtown,1,514,138924
11439,1,7088860,Downtown,1,609,138931
11439,1,7088859,Downtown,1,605,138931
11439,1,7088795,the Sunset District,0,610,138928
11439,1,7088794,the Sunset District,0,605,138928
1071,1,7089663,Downtown,1,707,138934
1072,1,7089713,Downtown,1,705,138935
1071,1,7089715,Downtown,1,708,138934
1071,1,7089606,the Sunset District,0,703,138932
1071,1,7089579,the Sunset District,0,701,138932
11441,1,7089758,Downtown,1,773,138937
1901,1,7089974,Downtown,1,942,138954
1901,1,7090030,Downtown,1,938,138954
1901,1,7089823,Visitacion Valley,0,943,138943
1901,1,7089797,Visitacion Valley,0,935,138943
1012,1,7102408,Jackson & Van Ness,1,1201,138961
1012,1,7102396,Jackson & Van Ness,1,1208,138961
1010,1,7102096,General Hospital,0,1002,138956
1010,1,7102078,General Hospital,0,1002,138956
11445,1,7091228,Daly City,0,1413,138966
11445,1,7091223,Daly City,0,1408,138966
11445,1,7091410,Downtown,1,1401,138970
11445,1,7091352,Downtown,1,1411,138970
11446,1,7092288,Fremont & Mission,1,1446,138975
11446,1,7092277,Fremont & Mission,1,1454,138975
11446,1,7092184,Daly City ( Daly City BART Station 4pm-7pm),0,1454,138973
11446,1,7092207,Daly City,0,1444,138972
