"","PERTYPE","DAP","freq"
"1","1","H",35223
"2","2","H",13064
"3","3","H",12231
"4","4","H",61141
"5","5","H",47877
"6","6","H",1292
"7","7","H",3807
"8","8","H",28456
"9","Total","H",203091
"10","1","M",432861
"11","2","M",76574
"12","3","M",59300
"13","4","M",0
"14","5","M",0
"15","6","M",38882
"16","7","M",177684
"17","8","M",36104
"18","Total","M",821405
"19","1","N",39343
"20","2","N",35101
"21","3","N",21812
"22","4","N",165878
"23","5","N",101401
"24","6","N",1461
"25","7","N",6565
"26","8","N",32341
"27","Total","N",403902
