"esc_type","chauffeur","freq_out","freq_inb"
"Ride Share","FT Worker",14419.9365,7819.5036
"Pure Escort","FT Worker",10272.7757,10159.5711
"Ride Share","PT Worker",4203.5912,2693.3288
"Pure Escort","PT Worker",3258.0054,3381.5009
"Ride Share","Univ Stud",848.1936,1848.1029
"Pure Escort","Univ Stud",3105.6744,4502.9078
"Ride Share","Non-Worker",0,0
"Pure Escort","Non-Worker",18887.8943,21268.2568
"Ride Share","Retiree",0,0
"Pure Escort","Retiree",1427.1866,416.5144
"Ride Share","Driv Student",NA,181.5732
"Pure Escort","Driv Student",NA,0
"Ride Share","Total",19471.7213,12542.5085
"Pure Escort","Total",36951.5364,39728.751
