"comp","partysize","freq"
"All Adult",2,41.4498294926113
"All Children",2,33.2140727489565
"Mixed",2,25.5879975553496
"Total",2,35.9636656164108
"All Adult",3,6.57331817712101
"All Children",3,12.9994036970781
"Mixed",3,16.8089426887211
"Total",3,10.1260307032245
"All Adult",4,1.39506045261961
"All Children",4,3.16040548598688
"Mixed",4,5.66409715513672
"Total",4,2.8665281222766
"All Adult",5,0.559057559160897
"All Children",5,0.596302921884317
"Mixed",5,1.89854701023204
"Total",5,1.01494938660589
