"jtf_code","alt_name","freq"
1,"No Joint Tours",453590
2,"1 Shopping",20114
3,"1 Maintenance",12531
4,"1 Eating Out",11026
5,"1 Visiting",6110
6,"1 Other Discretionary",11617
7,"2 Shopping",746
8,"1 Shopping / 1 Maintenance",184
9,"1 Shopping / 1 Eating Out",129
10,"1 Shopping / 1 Visiting",54
11,"1 Shopping / 1 Other Discretionary",264
12,"2 Maintenance",1528
13,"1 Maintenance / 1 Eating Out",463
14,"1 Maintenance / 1 Visiting",557
15,"1 Maintenance / 1 Other Discretionary",838
16,"2 Eating Out",348
17,"1 Eating Out / 1 Visiting",380
18,"1 Eating Out / 1 Other Discretionary",508
19,"2 Visiting",60
20,"1 Visiting / 1 Other Discretionary",289
21,"2 Other Discretionary",267
