"pertype","tour_purp","tour_rate"
"FT Worker","Escorting",0.0403112171800082
"PT Worker","Escorting",0.075661982218873
"Univ Stud","Escorting",0.0657789014709191
"Non Worker","Escorting",0.174699034001559
"Retiree","Escorting",0.0295220997065877
"Driv Stud","Escorting",0.0101357031343821
"NonDriv Stud","Escorting",0.00321180924830901
"Pre-School","Escorting",0.121794408726432
"All","Escorting",0.0650574979802548
"FT Worker","Shopping",0.054305348355527
"PT Worker","Shopping",0.13315803397494
"Univ Stud","Shopping",0.0804559527763196
"Non Worker","Shopping",0.196384443592827
"Retiree","Shopping",0.207317890111068
"Driv Stud","Shopping",0.0119130539209799
"NonDriv Stud","Shopping",0.00303632960394776
"Pre-School","Shopping",0
"All","Shopping",0.0898027020480286
"FT Worker","Maintenance",0.0705599031978984
"PT Worker","Maintenance",0.141607676829219
"Univ Stud","Maintenance",0.0697856293455321
"Non Worker","Maintenance",0.177619494403552
"Retiree","Maintenance",0.213279920684897
"Driv Stud","Maintenance",0.00953524678755855
"NonDriv Stud","Maintenance",0.00563661887948271
"Pre-School","Maintenance",0.0595659487518189
"All","Maintenance",0.0975722452705758
"FT Worker","EatingOut",0.00219933113531602
"PT Worker","EatingOut",0.0334779018590818
"Univ Stud","EatingOut",0.0296326451903196
"Non Worker","EatingOut",0.0478550253503011
"Retiree","EatingOut",0.0847077265236672
"Driv Stud","EatingOut",0.00213762459469197
"NonDriv Stud","EatingOut",0
"Pre-School","EatingOut",0.0187614162908536
"All","EatingOut",0.0234346449658989
"FT Worker","Visiting",0.0388922938669011
"PT Worker","Visiting",0.0559167541827335
"Univ Stud","Visiting",0.0772527131118563
"Non Worker","Visiting",0.0603033226293834
"Retiree","Visiting",0.0615629898578491
"Driv Stud","Visiting",0.0217125015011409
"NonDriv Stud","Visiting",0.0240088058876079
"Pre-School","Visiting",0.0355311090700818
"All","Visiting",0.0459696807192393
"FT Worker","Discretionary",0.103945986319214
"PT Worker","Discretionary",0.183158434811887
"Univ Stud","Discretionary",0.100939545547068
"Non Worker","Discretionary",0.271034583008471
"Retiree","Discretionary",0.195253151837511
"Driv Stud","Discretionary",0.117617389215804
"NonDriv Stud","Discretionary",0.0377174884077083
"Pre-School","Discretionary",0.14486950599065
"All","Discretionary",0.141220444161921
"FT Worker","All",0.310214080054865
"PT Worker","All",0.622980783876735
"Univ Stud","All",0.423845387442015
"Non Worker","All",0.927895902986094
"Retiree","All",0.79164377872158
"Driv Stud","All",0.173051519154557
"NonDriv Stud","All",0.0736110520270558
"Pre-School","All",0.380522388829837
"All","All",0.463057215145919
