"id","purpose","freq_stop","freq_trip"
1,"atwork",26,182
10,"atwork",451,4756
11,"atwork",483,5773
12,"atwork",616,7619
13,"atwork",753,9141
14,"atwork",1011,10480
15,"atwork",673,8351
16,"atwork",1842,28565
17,"atwork",1468,18269
18,"atwork",1638,18514
19,"atwork",2283,20431
2,"atwork",24,195
20,"atwork",1086,9875
21,"atwork",818,7559
22,"atwork",733,6433
23,"atwork",606,5360
24,"atwork",535,4347
25,"atwork",375,3757
26,"atwork",481,3786
27,"atwork",332,2647
28,"atwork",374,2603
29,"atwork",285,2103
3,"atwork",53,350
30,"atwork",263,1812
31,"atwork",196,1493
32,"atwork",205,1387
33,"atwork",211,1325
34,"atwork",148,1182
35,"atwork",139,1039
36,"atwork",132,1013
37,"atwork",86,858
38,"atwork",111,795
39,"atwork",111,737
4,"atwork",88,760
40,"atwork",103,2163
5,"atwork",140,1142
6,"atwork",169,1747
7,"atwork",240,2356
8,"atwork",278,3203
9,"atwork",372,3970
1,"esco",2,61
10,"esco",1488,7413
11,"esco",1111,5230
12,"esco",983,4633
13,"esco",1041,4690
14,"esco",1011,4821
15,"esco",1180,5352
16,"esco",1161,5602
17,"esco",1226,5920
18,"esco",1405,6676
19,"esco",1385,8072
2,"esco",29,306
20,"esco",2262,10530
21,"esco",1227,8278
22,"esco",1774,10394
23,"esco",1573,9390
24,"esco",1421,7900
25,"esco",849,4573
26,"esco",748,3840
27,"esco",595,3384
28,"esco",578,3145
29,"esco",540,3015
3,"esco",98,952
30,"esco",508,2818
31,"esco",435,2434
32,"esco",382,2080
33,"esco",321,1825
34,"esco",279,1564
35,"esco",255,1351
36,"esco",194,1069
37,"esco",172,893
38,"esco",139,759
39,"esco",122,677
4,"esco",260,2516
40,"esco",126,732
5,"esco",537,4979
6,"esco",1261,12484
7,"esco",2410,20714
8,"esco",3234,24922
9,"esco",2541,16725
1,"idisc",313,1652
10,"idisc",3798,23040
11,"idisc",3800,21844
12,"idisc",3460,19724
13,"idisc",3583,20928
14,"idisc",3682,21984
15,"idisc",3403,20736
16,"idisc",3251,18814
17,"idisc",3049,18150
18,"idisc",3035,18031
19,"idisc",3458,18664
2,"idisc",481,2563
20,"idisc",3070,16864
21,"idisc",3271,17425
22,"idisc",3196,17421
23,"idisc",3350,19662
24,"idisc",3622,21167
25,"idisc",3602,23775
26,"idisc",3718,24732
27,"idisc",3562,24129
28,"idisc",3870,27378
29,"idisc",3988,30361
3,"idisc",629,3787
30,"idisc",4937,37411
31,"idisc",4614,31639
32,"idisc",3825,25723
33,"idisc",3116,19974
34,"idisc",4825,29025
35,"idisc",2645,14695
36,"idisc",2244,12121
37,"idisc",1656,8445
38,"idisc",1412,7213
39,"idisc",1525,7995
4,"idisc",833,5493
40,"idisc",1383,7029
5,"idisc",1177,7999
6,"idisc",1785,11545
7,"idisc",2738,17293
8,"idisc",3650,21374
9,"idisc",3473,20936
1,"imain",147,638
10,"imain",5661,22415
11,"imain",6924,23807
12,"imain",9218,31262
13,"imain",7586,29026
14,"imain",8929,34349
15,"imain",9012,34292
16,"imain",9520,33788
17,"imain",8354,30579
18,"imain",8251,30002
19,"imain",9932,37297
2,"imain",273,1190
20,"imain",10870,39682
21,"imain",9343,34120
22,"imain",12383,44504
23,"imain",10639,37825
24,"imain",7770,28406
25,"imain",5848,22464
26,"imain",6512,24184
27,"imain",5060,19827
28,"imain",4653,19140
29,"imain",5381,21978
3,"imain",466,2073
30,"imain",3398,14010
31,"imain",2588,10389
32,"imain",2455,9397
33,"imain",2137,7912
34,"imain",1635,5937
35,"imain",1368,4697
36,"imain",1101,3571
37,"imain",823,2609
38,"imain",717,2053
39,"imain",560,1573
4,"imain",739,3356
40,"imain",522,1386
5,"imain",1145,5160
6,"imain",1768,7644
7,"imain",2613,11254
8,"imain",4516,19828
9,"imain",4204,16689
1,"jdisc",43,370
10,"jdisc",187,1187
11,"jdisc",182,1135
12,"jdisc",176,1166
13,"jdisc",193,1248
14,"jdisc",176,1258
15,"jdisc",160,1110
16,"jdisc",190,1349
17,"jdisc",183,1253
18,"jdisc",123,1091
19,"jdisc",185,1230
2,"jdisc",58,506
20,"jdisc",184,1013
21,"jdisc",189,1173
22,"jdisc",241,1283
23,"jdisc",285,1764
24,"jdisc",348,2374
25,"jdisc",320,2435
26,"jdisc",346,2785
27,"jdisc",381,3220
28,"jdisc",460,4025
29,"jdisc",551,5619
3,"jdisc",61,638
30,"jdisc",726,6342
31,"jdisc",794,6317
32,"jdisc",552,4427
33,"jdisc",465,3809
34,"jdisc",572,4497
35,"jdisc",341,2399
36,"jdisc",216,1491
37,"jdisc",154,1016
38,"jdisc",116,760
39,"jdisc",176,886
4,"jdisc",95,819
40,"jdisc",161,795
5,"jdisc",83,998
6,"jdisc",118,1024
7,"jdisc",149,1136
8,"jdisc",213,1192
9,"jdisc",167,1126
1,"jmain",125,381
10,"jmain",741,2514
11,"jmain",1001,2983
