"pertype","tour_purp","tour_rate"
"FT Worker","Escorting",0.0605035451966187
"PT Worker","Escorting",0.12373174998037
"Univ Stud","Escorting",0.196166871269525
"Non Worker","Escorting",0.219867830301672
"Retiree","Escorting",0.0459466917732615
"Driv Stud","Escorting",0.00692860329986012
"NonDriv Stud","Escorting",0.0136429700950139
"Pre-School","Escorting",0.135301790113776
"All","Escorting",0.0962277096619358
"FT Worker","Shopping",0.0416989014698272
"PT Worker","Shopping",0.0790529286071094
"Univ Stud","Shopping",0.061473987215849
"Non Worker","Shopping",0.115769308893263
"Retiree","Shopping",0.160088360063199
"Driv Stud","Shopping",0.00272230940074099
"NonDriv Stud","Shopping",0.00153078539399672
"Pre-School","Shopping",1.58821228839553e-05
"All","Shopping",0.0607850046772042
"FT Worker","Maintenance",0.0527392633667538
"PT Worker","Maintenance",0.127524178822209
"Univ Stud","Maintenance",0.0350442365491259
"Non Worker","Maintenance",0.269832458972761
"Retiree","Maintenance",0.189123271216155
"Driv Stud","Maintenance",0.0203747060858405
"NonDriv Stud","Maintenance",0.00986139377803818
"Pre-School","Maintenance",0.1082545348424
"All","Maintenance",0.10393854107407
"FT Worker","EatingOut",0.000400981666958592
"PT Worker","EatingOut",0.00935410091870336
"Univ Stud","EatingOut",0.0022287601066757
"Non Worker","EatingOut",0.0187686925215905
"Retiree","EatingOut",0.0610796376858646
"Driv Stud","EatingOut",0.000391049969167214
"NonDriv Stud","EatingOut",0
"Pre-School","EatingOut",0.00751422938947134
"All","EatingOut",0.0109529731692121
"FT Worker","Visiting",0.0246693497194525
"PT Worker","Visiting",0.14537532515483
"Univ Stud","Visiting",0.0498433729839563
"Non Worker","Visiting",0.0467575698145982
"Retiree","Visiting",0.0580860550180724
"Driv Stud","Visiting",0.018259025483423
"NonDriv Stud","Visiting",0.00803456026539115
"Pre-School","Visiting",0.0613943312732896
"All","Visiting",0.0436234303040484
"FT Worker","Discretionary",0.0706529697181039
"PT Worker","Discretionary",0.154993392486313
"Univ Stud","Discretionary",0.0660373364940947
"Non Worker","Discretionary",0.129868810892968
"Retiree","Discretionary",0.199215960002597
"Driv Stud","Discretionary",0.0386337315692635
"NonDriv Stud","Discretionary",0.0227740430786116
"Pre-School","Discretionary",0.0549283219941593
"All","Discretionary",0.0917222810621818
"FT Worker","All",0.250665011137715
"PT Worker","All",0.640031675969534
"Univ Stud","All",0.410794564619227
"Non Worker","All",0.800864671396852
"Retiree","All",0.71353997575915
"Driv Stud","All",0.0873094258082953
"NonDriv Stud","All",0.0558437526110516
"Pre-School","All",0.36740908973598
"All","All",0.407249939948652
